Frame,Right_Shoulder_X,Right_Shoulder_Y,Right_Elbow_X,Right_Elbow_Y,Right_Wrist_X,Right_Wrist_Y,Right_Angle,Left_Shoulder_X,Left_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Left_Angle
107,0.361568511,0.704417825,0.162213638,0.503290057,0.389597505,0.250946462,93.231996,0.66193372,0.720143974,0.92263186,0.575989425,0.732842147,0.292088389,85.17766601
108,0.361537814,0.704085469,0.16779153,0.503140688,0.391485274,0.247743338,94.83086105,0.661855698,0.719983339,0.922060788,0.573947966,0.730776429,0.287793785,85.54114271
109,0.361169338,0.70346868,0.167147458,0.502604187,0.390100598,0.249130547,94.65815618,0.661991775,0.719899595,0.922050953,0.572331131,0.730790257,0.285351932,85.89044732
110,0.361073315,0.703961551,0.166342467,0.503164172,0.388469398,0.250855565,94.51874343,0.66244781,0.72023505,0.921827137,0.572224796,0.731509626,0.284696847,86.20952406
111,0.361097723,0.702112436,0.162844732,0.504508555,0.38783735,0.252012491,93.2026549,0.662742734,0.718984783,0.922956288,0.574183464,0.734774888,0.28699407,85.85977483
112,0.362143189,0.702045858,0.160271332,0.50505358,0.38537097,0.252615452,92.57563764,0.665234447,0.719809473,0.925344825,0.574513137,0.737550914,0.28854543,85.89474919
113,0.362169683,0.701842844,0.157036871,0.510088086,0.382766008,0.253466755,91.73394851,0.665935278,0.719985306,0.927672029,0.579754293,0.743109524,0.291567326,85.54455768
114,0.362718999,0.70195967,0.153801844,0.51864779,0.377269357,0.258722126,90.57810601,0.666923404,0.720064223,0.928150833,0.587237537,0.748387516,0.294887275,85.36508429
115,0.362733185,0.701963127,0.145229205,0.523083568,0.369120359,0.262892634,88.72295534,0.668227553,0.719902694,0.928769886,0.596460104,0.75296396,0.301604956,84.54586723
116,0.362716615,0.701964676,0.141430691,0.527220309,0.367001712,0.265541434,87.53551327,0.669427991,0.72033298,0.930747628,0.604618013,0.756456017,0.307208627,83.51254986
117,0.362812728,0.701989889,0.139216647,0.532302737,0.364272535,0.267428994,86.84124142,0.671495378,0.71945101,0.933867812,0.613862813,0.758584857,0.310548246,81.89838675
118,0.363064229,0.703408957,0.133033335,0.558116496,0.350198805,0.285324305,83.75465564,0.674691081,0.7194525,0.936233163,0.647264481,0.768393576,0.331286937,77.4538413
119,0.362708628,0.703362405,0.127493083,0.574065447,0.34116441,0.293123037,81.54252507,0.675698102,0.719413042,0.936184049,0.663006961,0.777512074,0.354606837,74.99244916
120,0.362820446,0.70342046,0.126261398,0.585925639,0.334313542,0.300306797,80.34224052,0.676375091,0.719290972,0.936830044,0.670574248,0.778710663,0.360804826,73.55276975
121,0.362279356,0.703975141,0.118640974,0.59550935,0.324860543,0.309653312,78.19115382,0.676724792,0.719227076,0.939501941,0.67793113,0.782544017,0.373881459,71.62720285
122,0.36228174,0.704665065,0.110363804,0.606589198,0.318010628,0.322693259,75.08935664,0.678651333,0.719172537,0.94328773,0.687351346,0.784517884,0.38232094,69.35940665
123,0.362305522,0.704844117,0.104697466,0.6206218,0.307574391,0.341985345,72.04603246,0.679542661,0.718886793,0.945065796,0.697378695,0.786326349,0.391203135,67.22611945
124,0.362196743,0.708126605,0.097792313,0.627705336,0.307134092,0.350411206,69.86687416,0.679589152,0.719387889,0.948114038,0.707310915,0.786322892,0.398735404,64.90640499
125,0.361511707,0.712450385,0.090113722,0.633351862,0.303272665,0.359985292,68.30318018,0.679791749,0.720100522,0.948770165,0.716260731,0.789101005,0.408043027,63.43189553
126,0.360920578,0.713668406,0.085231401,0.648399532,0.291956633,0.378463149,65.87347218,0.679974437,0.722456872,0.948808551,0.743662179,0.790548205,0.437963665,58.11928136
127,0.359368891,0.713779807,0.082331203,0.653368175,0.288038045,0.387344241,64.5880045,0.680490851,0.725362241,0.948676586,0.755717695,0.791159391,0.451699674,56.15279474
128,0.359027326,0.714519858,0.079741314,0.662245095,0.283574045,0.388972342,63.88248073,0.680588186,0.727742732,0.948678374,0.760790706,0.790909648,0.455586314,55.63678354
129,0.358952373,0.714069426,0.079291113,0.670363724,0.281192124,0.394319624,62.70032887,0.680918396,0.728899002,0.948719025,0.766528904,0.790871918,0.462505698,54.56339245
130,0.358665884,0.714033425,0.0764312,0.676014602,0.279763967,0.402195543,61.07505777,0.681104243,0.729391932,0.948739827,0.768741071,0.791057706,0.467870981,53.97755539
131,0.358670831,0.714186549,0.075987086,0.678299069,0.277332097,0.404580712,60.8972536,0.681216359,0.731447279,0.948697925,0.771627069,0.79136467,0.470127285,53.90003147
132,0.358238131,0.714222729,0.075684547,0.682240069,0.277438074,0.406232148,60.29222206,0.681197047,0.732609749,0.948690057,0.777250528,0.791853547,0.475396007,53.07013593
133,0.358240038,0.714134336,0.075489931,0.685970128,0.276701301,0.406887114,59.89776881,0.681190133,0.732885182,0.948781788,0.777625203,0.791841149,0.47535494,53.06959427
134,0.358194411,0.714121282,0.074897908,0.684837401,0.275946826,0.406318724,60.07794489,0.681606174,0.733602464,0.949205041,0.778593302,0.792081952,0.474815905,53.10683007
135,0.358267963,0.71411097,0.075049356,0.685187101,0.276741445,0.404855728,60.09698679,0.681765556,0.733584821,0.949812889,0.778063893,0.792034388,0.474208355,53.13751777
136,0.357981622,0.716469526,0.075374492,0.684021711,0.276960999,0.40350157,60.84812853,0.682455242,0.733822584,0.95125562,0.777009547,0.792214334,0.472105592,53.32550012
137,0.356928825,0.717023551,0.075638756,0.681377232,0.276395738,0.400669873,61.65059189,0.68193996,0.733864009,0.951429069,0.77362442,0.7921983,0.469326168,53.98532748
138,0.356853038,0.71769321,0.075903572,0.668565392,0.277323276,0.390175968,64.03225115,0.681875825,0.733762562,0.952349484,0.762192011,0.791973531,0.460478663,56.00677011
139,0.356910169,0.718467832,0.075954296,0.661135435,0.2783252,0.383011252,65.49285709,0.682153642,0.733848929,0.952969432,0.752024651,0.791157722,0.448688895,58.08308238
140,0.35674426,0.718938291,0.076096803,0.653172433,0.278689682,0.375337452,67.08956329,0.682142496,0.73395431,0.953393102,0.743766844,0.790383041,0.438485533,59.82748616
141,0.356662214,0.718087554,0.078204677,0.638843179,0.286187917,0.361744285,68.99452788,0.682066083,0.733607948,0.953268528,0.728979111,0.789217174,0.426577836,62.4981843
142,0.356161058,0.717058539,0.084560685,0.621609569,0.295087963,0.347232431,71.86436542,0.682082057,0.733649969,0.953366935,0.718342066,0.787914932,0.41525048,64.60033045
143,0.35617429,0.714748561,0.104486547,0.587284684,0.322573304,0.316328734,78.02946327,0.679331958,0.732756019,0.949637234,0.685640633,0.775029361,0.382812798,69.92019569
